,index,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
149,149,Luguentz Dort,SF,22,OKC,36,36,32.4,5.6,14.0,.398,2.4,7.6,.309,3.2,6.3,.504,.482,2.8,3.3,.842,0.7,3.4,4.1,1.7,0.9,0.4,1.6,2.9,16.3
150,150,Ayo Dosunmu,SG,22,CHI,35,2,19.5,2.6,4.8,.533,0.7,1.7,.424,1.9,3.1,.591,.607,0.6,1.0,.611,0.4,1.7,2.1,1.2,0.4,0.4,1.0,1.7,6.5
151,151,Damyean Dotson,SG,27,NYK,2,0,10.5,1.0,2.0,.500,0.0,0.5,.000,1.0,1.5,.667,.500,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,2.0
152,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,153,Devon Dotson,PG,22,CHI,10,0,7.8,1.0,1.9,.526,0.2,0.7,.286,0.8,1.2,.667,.579,0.5,0.8,.625,0.1,0.8,0.9,1.3,0.1,0.0,0.5,0.9,2.7
154,154,Sekou Doumbouya,PF,21,LAL,2,0,8.0,2.5,4.0,.625,0.5,1.0,.500,2.0,3.0,.667,.688,1.5,2.0,.750,1.0,2.0,3.0,0.0,1.5,1.0,1.0,0.5,7.0
155,155,Jeff Dowtin,PG,24,TOT,5,0,6.2,0.6,1.4,.429,0.0,0.4,.000,0.6,1.0,.600,.429,0.0,0.0,,0.2,1.2,1.4,0.6,0.0,0.2,0.2,0.4,1.2
156,156,Jeff Dowtin,PG,24,GSW,4,0,7.0,0.8,1.5,.500,0.0,0.3,.000,0.8,1.3,.600,.500,0.0,0.0,,0.3,1.5,1.8,0.8,0.0,0.3,0.3,0.5,1.5
157,157,Jeff Dowtin,PG,24,MIL,1,0,3.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,158,PJ Dozier,SG,25,DEN,18,0,18.9,2.0,5.5,.364,0.8,2.7,.313,1.2,2.8,.412,.439,0.6,0.7,.769,0.8,2.7,3.5,1.6,0.6,0.3,0.7,1.8,5.4
159,159,Goran Dragić,PG,35,TOR,5,2,18.0,2.6,6.8,.382,0.8,2.8,.286,1.8,4.0,.450,.441,2.0,2.0,1.000,0.4,2.4,2.8,1.8,1.0,0.2,0.2,1.6,8.0
160,160,Andre Drummond,C,28,PHI,35,11,19.2,2.7,5.1,.528,0.0,0.0,.000,2.7,5.1,.531,.528,1.1,2.0,.529,3.0,6.2,9.1,2.0,1.1,1.0,1.6,2.4,6.4
161,161,Chris Duarte,SG,24,IND,34,25,28.6,5.0,11.6,.434,1.8,5.2,.352,3.2,6.4,.500,.513,1.2,1.7,.707,0.6,3.4,4.0,2.1,1.0,0.1,1.7,1.7,13.1
162,162,David Duke Jr.,PG,22,BRK,11,7,20.1,2.3,6.5,.352,0.4,2.0,.182,1.9,4.5,.429,.380,1.1,1.4,.800,2.1,2.5,4.6,1.1,0.6,0.5,0.5,2.4,6.0
163,163,Kevin Durant,PF,33,BRK,35,35,37.2,10.7,20.6,.520,1.9,5.1,.371,8.8,15.5,.569,.566,6.4,7.2,.893,0.6,7.0,7.5,5.9,0.8,0.9,3.0,1.9,29.7
164,164,Jaime Echenique,C,24,WAS,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,165,Anthony Edwards,SG,20,MIN,35,35,35.5,8.2,18.6,.442,3.3,8.8,.371,5.0,9.8,.506,.530,2.7,3.4,.790,1.1,4.3,5.5,3.7,1.6,0.7,3.2,2.4,22.4
166,166,Kessler Edwards,SF,21,BRK,9,2,21.1,2.9,6.7,.433,1.2,3.1,.393,1.7,3.6,.469,.525,0.0,0.0,,1.3,2.9,4.2,1.1,0.9,0.7,1.1,1.4,7.0
167,167,Rob Edwards,SG,25,OKC,2,0,5.5,0.5,2.0,.250,0.5,2.0,.250,0.0,0.0,,.375,0.0,0.0,,0.0,1.5,1.5,0.0,0.0,0.0,0.5,0.0,1.5
168,168,CJ Elleby,SF,21,POR,21,0,8.9,1.2,2.7,.456,0.5,1.4,.345,0.8,1.3,.571,.544,0.3,0.4,.875,0.6,1.4,2.0,0.4,0.2,0.0,0.5,1.2,3.3
169,169,Wayne Ellington,SG,34,LAL,29,8,20.3,2.2,5.5,.403,1.9,5.0,.386,0.3,0.5,.571,.579,0.1,0.2,.800,0.2,1.4,1.7,0.8,0.5,0.1,0.4,1.0,6.5
170,170,Joel Embiid,C,27,PHI,29,29,32.9,8.6,17.9,.482,1.2,3.2,.383,7.4,14.7,.504,.516,8.6,10.7,.809,1.9,8.6,10.5,4.3,1.1,1.4,3.0,2.5,27.1
171,171,James Ennis III,SF,31,TOT,5,0,9.2,1.8,3.6,.500,0.6,1.2,.500,1.2,2.4,.500,.583,0.8,0.8,1.000,0.8,1.2,2.0,0.0,0.4,0.4,0.4,1.0,5.0
172,172,James Ennis III,SF,31,BRK,2,0,7.0,1.0,3.5,.286,0.5,1.0,.500,0.5,2.5,.200,.357,0.0,0.0,,1.0,1.5,2.5,0.0,0.5,0.5,0.0,0.0,2.5
173,173,James Ennis III,SF,31,LAC,2,0,14.0,3.5,5.5,.636,1.0,2.0,.500,2.5,3.5,.714,.727,2.0,2.0,1.000,1.0,1.5,2.5,0.0,0.5,0.5,0.5,2.0,10.0
174,174,James Ennis III,SF,31,DEN,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
175,175,Drew Eubanks,C,24,SAS,37,8,12.7,1.8,3.4,.516,0.0,0.2,.167,1.7,3.2,.533,.520,1.4,1.8,.758,1.1,2.8,4.0,1.1,0.3,0.7,1.1,1.4,4.9
176,176,Tacko Fall,C,26,CLE,11,1,5.4,0.5,1.1,.417,0.0,0.0,,0.5,1.1,.417,.417,0.2,0.6,.286,0.6,1.5,2.1,0.2,0.0,0.5,0.3,0.3,1.1
177,177,Derrick Favors,C,30,OKC,30,12,16.0,2.3,4.7,.493,0.1,0.4,.167,2.3,4.3,.523,.500,0.3,0.6,.556,1.3,3.2,4.6,0.8,0.4,0.2,0.2,1.5,5.1
178,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,179,Bruno Fernando,C,23,BOS,13,0,2.7,0.2,0.4,.600,0.0,0.0,,0.2,0.4,.600,.600,0.2,0.2,1.000,0.2,0.3,0.5,0.1,0.0,0.2,0.4,0.3,0.6
180,180,Dorian Finney-Smith,PF,28,DAL,40,40,32.2,3.8,8.5,.450,2.0,5.1,.380,1.9,3.4,.556,.565,0.9,1.3,.667,1.5,3.2,4.7,1.9,1.2,0.6,1.0,2.4,10.5
181,181,Malik Fitts,PF,24,UTA,7,0,5.0,0.3,1.3,.222,0.3,0.6,.500,0.0,0.7,.000,.333,0.0,0.0,,0.0,1.4,1.4,0.0,0.0,0.0,0.3,0.4,0.9
182,182,Malachi Flynn,PG,23,TOR,26,1,8.8,1.2,3.3,.349,0.5,1.7,.273,0.7,1.6,.429,.419,0.2,0.3,.571,0.2,0.8,1.1,1.0,0.4,0.1,0.3,0.9,2.9
183,183,Bryn Forbes,SG,28,SAS,39,1,16.9,3.2,7.4,.427,1.5,3.7,.404,1.6,3.6,.451,.530,1.1,1.2,.896,0.1,1.5,1.6,1.0,0.4,0.1,0.8,1.0,8.9
184,184,Aleem Ford,SF,24,ORL,5,0,14.8,1.2,4.0,.300,0.4,3.0,.133,0.8,1.0,.800,.350,0.0,0.0,,0.4,2.6,3.0,0.4,0.2,0.0,0.8,1.4,2.8
185,185,Trent Forrest,PG,23,UTA,31,2,9.0,0.6,1.2,.486,0.0,0.1,.250,0.5,1.1,.515,.500,0.4,0.5,.786,0.3,1.1,1.4,1.0,0.2,0.0,0.8,0.5,1.5
186,186,Evan Fournier,SG,29,NYK,40,40,28.9,4.9,11.8,.416,2.7,6.9,.388,2.3,4.9,.457,.530,1.1,1.5,.733,0.5,2.4,2.9,1.8,0.9,0.2,1.3,1.9,13.6
187,187,De'Aaron Fox,PG,24,SAC,40,40,34.3,7.8,17.2,.452,0.9,3.7,.243,6.9,13.5,.509,.478,4.5,5.9,.751,0.5,3.2,3.7,5.1,1.2,0.4,2.8,2.9,20.9
188,188,Tim Frazier,PG,31,ORL,10,3,20.0,1.3,4.3,.302,0.6,1.7,.353,0.7,2.6,.269,.372,0.5,0.9,.556,0.5,1.4,1.9,3.3,0.3,0.1,1.3,2.4,3.7
189,189,Enes Freedom,C,29,BOS,25,1,12.5,1.8,3.3,.542,0.0,0.2,.250,1.8,3.2,.557,.548,0.6,0.8,.800,2.2,3.1,5.3,0.2,0.2,0.4,0.6,1.2,4.3
190,190,Wenyen Gabriel,PF,24,TOT,6,0,7.2,0.7,2.0,.333,0.2,0.7,.250,0.5,1.3,.375,.375,0.3,0.7,.500,0.7,1.3,2.0,0.3,0.2,0.3,0.2,1.5,1.8
191,191,Wenyen Gabriel,PF,24,BRK,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
192,192,Wenyen Gabriel,PF,24,LAC,5,0,8.4,0.8,2.4,.333,0.2,0.8,.250,0.6,1.6,.375,.375,0.4,0.8,.500,0.8,1.4,2.2,0.4,0.2,0.4,0.2,1.8,2.2
193,193,Daniel Gafford,C,23,WAS,39,39,22.7,4.2,5.9,.698,0.0,0.0,,4.2,5.9,.698,.698,1.3,1.8,.732,2.4,4.3,6.7,1.1,0.4,1.8,1.0,2.5,9.6
194,194,Danilo Gallinari,PF,33,ATL,31,1,22.4,3.1,7.5,.410,1.5,3.9,.392,1.6,3.7,.430,.511,2.0,2.1,.938,0.6,3.6,4.2,1.4,0.5,0.2,0.6,1.4,9.7
195,195,Langston Galloway,SG,30,TOT,7,0,15.3,0.9,3.7,.231,0.3,2.3,.125,0.6,1.4,.400,.269,0.0,0.0,,0.4,2.1,2.6,1.7,0.1,0.0,0.9,1.0,2.0
196,196,Langston Galloway,SG,30,BRK,4,0,14.5,1.3,3.3,.385,0.5,2.0,.250,0.8,1.3,.600,.462,0.0,0.0,,0.3,1.8,2.0,1.3,0.0,0.0,1.3,1.3,3.0
197,197,Langston Galloway,SG,30,MIL,3,0,16.3,0.3,4.3,.077,0.0,2.7,.000,0.3,1.7,.200,.077,0.0,0.0,,0.7,2.7,3.3,2.3,0.3,0.0,0.3,0.7,0.7
198,198,Darius Garland,PG,22,CLE,36,36,34.3,7.2,15.4,.465,2.6,6.9,.372,4.6,8.5,.541,.549,2.2,2.4,.909,0.5,2.8,3.2,7.6,1.3,0.1,3.6,1.7,19.1
199,199,Marcus Garrett,SG,23,MIA,12,0,10.7,0.4,1.8,.238,0.1,0.3,.250,0.3,1.4,.235,.262,0.2,0.4,.400,0.8,1.2,1.9,0.6,0.4,0.3,0.2,1.3,1.1
200,200,Usman Garuba,PF,19,HOU,15,0,7.0,0.5,1.6,.333,0.1,0.9,.154,0.4,0.7,.545,.375,0.1,0.1,.500,0.6,1.7,2.3,0.5,0.5,0.4,0.2,0.6,1.3
201,201,Luka Garza,C,23,DET,26,5,12.3,1.9,4.4,.430,0.5,1.5,.308,1.4,2.9,.493,.482,1.0,1.6,.643,1.8,1.3,3.1,0.6,0.3,0.2,0.6,1.7,5.3
202,202,Rudy Gay,PF,35,UTA,25,0,19.9,3.2,7.4,.429,1.6,4.2,.377,1.6,3.1,.500,.538,1.3,1.6,.805,1.0,3.7,4.6,1.1,0.5,0.3,0.8,1.9,9.2
203,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,204,Paul George,SF,31,LAC,26,26,35.5,9.0,21.4,.421,2.7,8.3,.323,6.3,13.0,.484,.484,4.0,4.5,.880,0.4,6.7,7.1,5.5,2.0,0.4,4.2,2.5,24.7
205,205,Taj Gibson,C,36,NYK,25,3,19.0,1.4,2.9,.493,0.2,0.6,.286,1.3,2.4,.542,.521,0.6,0.8,.762,1.6,2.9,4.6,0.8,0.5,0.9,0.7,2.5,3.7
206,206,Josh Giddey,SG,19,OKC,35,35,30.6,4.7,11.6,.401,1.1,3.8,.280,3.6,7.8,.460,.447,0.9,1.3,.681,1.5,5.9,7.4,6.4,1.1,0.5,2.9,1.7,11.3
207,207,Shai Gilgeous-Alexander,PG,23,OKC,35,35,34.9,7.6,18.3,.415,1.7,5.9,.279,5.9,12.3,.480,.460,5.4,6.5,.825,0.6,4.0,4.6,5.2,1.0,0.7,2.4,2.3,22.2
208,208,Anthony Gill,PF,29,WAS,16,0,6.8,1.1,1.7,.667,0.3,0.4,.714,0.8,1.3,.650,.759,0.6,0.8,.833,0.5,1.1,1.6,0.5,0.1,0.1,0.3,1.1,3.2
209,209,Freddie Gillespie,PF,24,ORL,9,2,13.2,1.0,2.4,.409,0.0,0.1,.000,1.0,2.3,.429,.409,0.3,0.8,.429,1.4,2.6,4.0,0.6,0.3,1.0,0.6,2.0,2.3
210,210,Rudy Gobert,C,29,UTA,37,37,32.1,5.5,7.7,.706,0.0,0.0,.000,5.5,7.7,.709,.706,4.6,6.7,.683,3.5,11.5,15.1,1.1,0.8,2.3,1.8,2.7,15.5
211,211,Brandon Goodwin,PG,26,CLE,4,0,20.5,2.8,7.3,.379,0.3,2.0,.125,2.5,5.3,.476,.397,0.5,2.0,.250,0.5,2.5,3.0,3.8,0.8,0.0,1.3,2.3,6.3
212,212,Jordan Goodwin,SG,23,WAS,2,0,3.0,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0
213,213,Aaron Gordon,PF,26,DEN,36,36,31.9,5.5,10.5,.528,0.9,3.0,.312,4.6,7.4,.616,.573,2.3,3.1,.730,1.7,3.9,5.6,2.1,0.6,0.6,1.7,1.9,14.3
214,214,Eric Gordon,SG,33,HOU,36,25,29.2,5.2,10.3,.500,2.4,5.2,.452,2.8,5.1,.549,.614,2.1,2.9,.733,0.2,1.5,1.7,3.4,0.6,0.4,2.3,1.1,14.8
215,215,Devonte' Graham,PG,26,NOP,38,38,31.3,4.6,12.4,.372,3.0,8.4,.355,1.6,3.9,.407,.493,1.7,2.1,.815,0.4,2.1,2.5,4.5,1.0,0.2,1.6,1.5,13.9
216,216,Jerami Grant,PF,27,DET,24,24,33.2,6.6,15.9,.414,1.8,5.3,.331,4.8,10.6,.455,.469,5.2,6.1,.849,1.0,3.9,4.8,2.6,1.1,1.1,2.1,2.3,20.1
217,217,Hassani Gravett,PG,25,ORL,8,3,21.4,2.3,4.8,.474,1.4,3.3,.423,0.9,1.5,.583,.618,0.4,0.5,.750,0.1,2.5,2.6,2.5,0.6,0.1,1.1,1.6,6.3
218,218,Danny Green,SF,34,PHI,29,21,23.7,2.3,5.6,.407,1.8,4.8,.381,0.4,0.8,.565,.571,0.3,0.3,.900,0.6,2.0,2.6,1.1,1.3,0.9,0.9,1.8,6.7
219,219,Draymond Green,PF,31,GSW,34,34,29.9,3.2,5.9,.537,0.4,1.2,.286,2.8,4.7,.604,.567,1.2,2.0,.597,1.1,6.4,7.6,7.4,1.4,1.2,3.1,2.8,7.9
220,220,Jalen Green,SG,19,HOU,28,28,30.2,5.0,12.7,.397,2.0,6.4,.311,3.0,6.3,.486,.476,3.1,3.8,.821,0.3,2.9,3.2,2.1,0.6,0.2,2.5,1.4,15.2
221,221,JaMychal Green,PF,31,DEN,35,7,14.9,2.1,4.8,.437,0.5,2.2,.250,1.5,2.6,.593,.494,1.0,1.2,.857,0.9,2.8,3.7,0.8,0.7,0.5,0.9,2.2,5.7
222,222,Javonte Green,SF,28,CHI,29,18,22.2,2.1,4.3,.496,0.4,1.1,.364,1.7,3.2,.543,.544,1.1,1.4,.800,1.5,2.7,4.2,1.0,0.8,0.4,0.6,2.1,5.8
223,223,Jeff Green,C,35,DEN,36,24,24.7,3.6,7.3,.496,0.8,2.4,.318,2.9,4.9,.585,.549,2.1,2.6,.796,0.5,2.5,3.1,1.1,0.3,0.5,1.1,2.3,10.1
224,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,225,Josh Green,SG,21,DAL,26,0,11.7,1.7,2.9,.573,0.2,0.6,.333,1.5,2.3,.633,.607,0.5,0.7,.737,0.6,1.4,2.0,1.0,0.5,0.2,0.4,1.4,4.0
226,226,Blake Griffin,PF,32,BRK,31,20,19.0,2.2,5.9,.366,0.6,2.7,.212,1.6,3.2,.500,.415,1.1,1.6,.694,1.1,3.4,4.5,2.0,0.6,0.4,0.5,2.0,6.0
227,227,Quentin Grimes,SG,21,NYK,24,2,13.7,1.7,4.3,.388,1.4,3.6,.384,0.3,0.7,.412,.549,0.2,0.3,.625,0.2,1.3,1.4,0.9,0.5,0.2,0.6,1.2,4.9
228,228,Kyle Guy,SG,24,MIA,6,0,17.2,3.0,5.8,.514,1.5,3.3,.450,1.5,2.5,.600,.643,0.7,0.8,.800,0.2,1.2,1.3,2.3,0.7,0.2,0.8,1.5,8.2
229,229,Rui Hachimura,PF,23,WAS,3,0,13.7,2.0,6.0,.333,0.0,1.7,.000,2.0,4.3,.462,.333,1.3,2.3,.571,0.3,1.7,2.0,0.7,0.0,0.0,0.7,0.7,5.3
230,230,Tyrese Haliburton,SG,21,SAC,42,42,34.1,5.2,11.1,.469,2.1,4.7,.437,3.1,6.4,.493,.562,1.4,1.7,.814,0.7,3.1,3.8,7.0,1.7,0.7,2.2,1.4,13.9
231,231,Tyler Hall,SG,24,NYK,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,232,R.J. Hampton,SG,20,ORL,38,1,19.5,2.6,6.7,.387,1.0,2.6,.374,1.6,4.1,.396,.460,1.2,1.9,.603,0.3,2.6,2.9,2.5,0.6,0.2,1.4,1.5,7.3
233,233,Tim Hardaway Jr.,SG,29,DAL,35,20,30.6,5.1,13.0,.395,2.4,7.4,.328,2.7,5.6,.482,.488,1.8,2.4,.747,0.4,3.5,3.9,2.4,1.0,0.2,0.7,1.8,14.5
234,234,James Harden,PG,32,BRK,35,35,36.7,6.5,15.6,.418,2.4,7.1,.340,4.1,8.4,.485,.496,7.1,8.1,.873,0.9,7.1,8.1,9.9,1.3,0.7,4.7,2.4,22.5
235,235,Maurice Harkless,SF,28,SAC,29,14,18.3,1.6,3.5,.441,0.6,2.0,.271,1.0,1.5,.674,.520,0.3,0.4,.692,0.2,2.1,2.3,0.5,0.4,0.6,0.6,1.6,4.0
236,236,Jared Harper,PG,24,NOP,2,0,5.0,1.5,3.5,.429,0.5,1.0,.500,1.0,2.5,.400,.500,0.0,0.0,,0.5,0.0,0.5,1.5,0.0,0.5,0.5,1.0,3.5
237,237,Montrezl Harrell,C,28,WAS,35,3,25.2,5.5,8.4,.647,0.1,0.3,.300,5.4,8.1,.660,.653,3.5,4.7,.738,2.2,5.1,7.3,2.2,0.5,0.6,1.1,1.8,14.5
238,238,Gary Harris,SG,27,ORL,35,25,29.4,4.3,9.6,.448,1.7,4.7,.366,2.6,4.9,.526,.537,1.4,1.6,.842,0.7,1.5,2.3,1.9,0.9,0.2,1.3,2.0,11.7
239,239,Joe Harris,SF,30,BRK,14,14,30.2,4.0,8.9,.452,2.9,6.3,.466,1.1,2.6,.417,.617,0.4,0.4,.833,0.4,3.6,4.0,1.0,0.5,0.1,1.1,2.2,11.3
240,240,Tobias Harris,PF,29,PHI,31,31,34.7,6.9,15.3,.455,1.1,3.8,.299,5.8,11.5,.506,.492,3.4,3.9,.852,1.2,6.4,7.5,3.9,0.5,0.6,1.7,2.0,18.4
241,241,Shaquille Harrison,SG,28,BRK,2,0,11.5,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,.333,0.0,0.0,,0.5,1.5,2.0,1.5,0.5,0.5,1.0,1.5,2.0
242,242,Josh Hart,PF,26,NOP,32,31,32.9,4.8,9.2,.519,1.0,3.0,.337,3.8,6.3,.605,.573,2.6,3.4,.755,1.3,6.1,7.4,4.4,0.9,0.3,2.0,3.0,13.2
243,243,Isaiah Hartenstein,C,23,LAC,29,0,16.4,3.2,4.9,.662,0.1,0.1,.667,3.2,4.8,.662,.669,1.1,1.7,.653,1.8,2.9,4.7,1.9,0.8,1.3,1.0,2.6,7.7
244,244,Udonis Haslem,C,41,MIA,8,0,6.5,1.3,2.5,.500,0.1,0.3,.500,1.1,2.3,.500,.525,0.4,0.4,1.000,0.5,1.6,2.1,0.3,0.1,0.1,0.3,1.4,3.0
245,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,246,Sam Hauser,SF,24,BOS,7,0,4.4,0.4,1.6,.273,0.4,1.6,.273,0.0,0.0,,.409,0.0,0.0,,0.1,0.4,0.6,0.1,0.1,0.1,0.0,0.1,1.3
247,247,Jaxson Hayes,C,21,NOP,29,0,13.7,2.4,4.2,.561,0.1,0.5,.286,2.2,3.8,.596,.577,1.8,2.3,.773,1.3,2.2,3.5,0.3,0.3,0.6,0.7,1.9,6.7
248,248,Killian Hayes,PG,20,DET,30,30,26.0,2.3,6.7,.342,0.9,2.9,.299,1.4,3.8,.374,.406,0.8,1.0,.862,0.5,2.5,3.0,3.7,1.2,0.4,1.6,2.5,6.3
249,249,Gordon Hayward,SF,31,CHO,41,41,33.3,6.2,13.2,.471,1.8,4.6,.392,4.4,8.6,.514,.540,3.0,3.5,.859,0.8,4.0,4.8,3.8,0.9,0.5,1.7,1.7,17.3
250,250,Aaron Henry,SF,22,PHI,6,0,2.8,0.2,0.8,.200,0.0,0.2,.000,0.2,0.7,.250,.200,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.3,0.3,0.3,0.3
251,251,Juancho Hernangómez,PF,26,BOS,18,0,5.3,0.3,1.5,.185,0.2,1.0,.167,0.1,0.5,.222,.241,0.3,0.5,.667,0.5,0.9,1.4,0.2,0.2,0.1,0.3,0.4,1.1
252,252,Willy Hernangómez,C,27,NOP,23,3,14.9,3.0,5.4,.560,0.1,0.1,.667,3.0,5.3,.557,.568,1.6,2.2,.706,2.4,4.3,6.7,1.2,0.3,0.2,0.9,1.7,7.7
253,253,Tyler Herro,SG,22,MIA,35,10,32.9,7.7,18.1,.429,2.7,6.9,.383,5.1,11.1,.458,.502,2.5,2.9,.871,0.7,4.3,5.1,4.1,0.6,0.2,2.9,1.4,20.7
254,254,Buddy Hield,SG,29,SAC,44,6,29.2,5.1,13.0,.392,3.5,9.3,.380,1.6,3.7,.421,.528,1.5,1.8,.870,0.7,3.2,3.8,2.0,0.9,0.3,1.5,2.0,15.3
255,255,Haywood Highsmith,SF,25,MIA,4,0,10.5,1.0,2.0,.500,1.0,1.8,.571,0.0,0.3,.000,.750,0.0,0.0,,0.5,0.8,1.3,0.0,0.0,0.3,0.0,0.8,3.0
256,256,George Hill,SG,35,MIL,33,12,25.6,2.6,5.8,.445,0.8,2.8,.308,1.7,3.0,.570,.518,1.1,1.2,.947,0.8,2.3,3.2,2.4,0.8,0.2,0.9,1.5,7.1
257,257,Malcolm Hill,SG,26,ATL,3,0,15.3,1.7,2.7,.625,1.0,1.7,.600,0.7,1.0,.667,.813,1.3,1.3,1.000,0.7,1.3,2.0,0.3,1.3,0.3,0.0,2.3,5.7
258,258,Solomon Hill,PF,30,ATL,13,1,10.7,0.2,1.5,.150,0.2,1.0,.154,0.1,0.5,.143,.200,0.0,0.0,,0.5,1.3,1.8,0.9,0.3,0.2,0.1,1.2,0.6
259,259,Nate Hinton,SG,22,IND,2,0,1.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
260,260,Jaylen Hoard,SF,22,OKC,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
261,261,Aaron Holiday,PG,25,WAS,33,10,16.7,2.5,5.4,.472,0.6,1.6,.365,2.0,3.8,.516,.525,0.6,0.7,.792,0.1,1.5,1.6,1.9,0.6,0.2,0.9,1.5,6.2
262,262,Jrue Holiday,PG,31,MIL,33,32,33.2,7.4,14.9,.499,1.8,4.8,.382,5.6,10.1,.554,.560,1.7,2.4,.709,0.9,3.7,4.6,6.7,1.6,0.6,2.8,1.8,18.4
263,263,Justin Holiday,SF,32,IND,36,27,28.4,3.6,9.1,.393,2.4,6.8,.354,1.1,2.2,.513,.526,0.7,0.9,.839,0.3,2.6,2.9,1.6,0.6,0.3,1.0,2.1,10.3
264,264,Richaun Holmes,C,28,SAC,27,27,26.1,5.3,7.7,.692,0.1,0.1,.500,5.3,7.6,.696,.697,1.9,2.3,.806,2.5,6.2,8.7,1.3,0.3,1.0,1.4,3.1,12.6
265,265,Rodney Hood,SF,29,MIL,32,0,16.1,1.3,3.6,.357,0.7,2.3,.315,0.6,1.3,.429,.457,0.4,0.4,.929,0.3,1.6,1.9,0.8,0.3,0.1,0.2,0.8,3.7
266,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,267,Scotty Hopson,SG,32,OKC,1,0,18.0,2.0,4.0,.500,0.0,1.0,.000,2.0,3.0,.667,.500,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0
268,268,Al Horford,C,35,BOS,33,33,29.4,4.0,9.2,.432,1.2,4.2,.279,2.8,4.9,.564,.497,1.7,1.9,.859,1.5,6.0,7.5,3.8,0.7,1.4,1.1,2.1,10.8
269,269,Talen Horton-Tucker,SG,21,LAL,26,15,27.6,4.2,10.2,.409,0.8,3.3,.247,3.3,6.9,.486,.449,1.8,2.2,.821,0.7,3.1,3.8,2.7,1.0,0.4,1.6,2.8,10.9
270,270,Danuel House Jr.,SF,28,TOT,20,1,14.5,1.5,4.4,.345,0.7,2.2,.318,0.8,2.2,.372,.425,1.0,1.1,.905,0.3,2.2,2.5,1.2,0.3,0.3,1.0,1.1,4.7
271,271,Danuel House Jr.,SF,28,HOU,16,1,14.6,1.6,4.6,.338,0.6,2.1,.294,0.9,2.5,.375,.405,1.1,1.2,.895,0.3,2.4,2.7,1.2,0.3,0.3,1.1,1.0,4.8
272,272,Danuel House Jr.,SF,28,NYK,1,0,3.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,273,Danuel House Jr.,SF,28,UTA,3,0,18.0,1.7,4.0,.417,1.3,3.0,.444,0.3,1.0,.333,.583,0.7,0.7,1.000,0.7,1.7,2.3,1.7,0.3,0.3,0.3,2.0,5.3
274,274,Dwight Howard,C,36,LAL,32,6,14.7,1.9,3.0,.619,0.2,0.3,.750,1.7,2.8,.607,.649,1.2,2.0,.609,1.8,3.7,5.5,0.6,0.7,0.6,0.8,1.9,5.2
275,275,Markus Howard,SG,22,DEN,16,0,7.3,1.4,3.9,.355,1.1,2.9,.391,0.3,1.0,.250,.500,0.4,0.5,.875,0.0,0.3,0.3,0.3,0.4,0.0,0.4,0.7,4.3
276,276,Kevin Huerter,SG,23,ATL,33,20,28.5,4.5,9.6,.462,1.7,4.8,.358,2.7,4.8,.566,.552,0.6,0.8,.778,0.3,3.0,3.4,2.7,0.5,0.2,1.4,2.0,11.3
