,index,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
65,65,James Bouknight,SG,21,CHO,18,0,8.2,1.3,3.7,.343,0.6,1.6,.393,0.7,2.2,.308,.425,0.4,0.6,.800,0.8,0.7,1.5,0.8,0.1,0.0,0.3,0.7,3.6
66,66,Avery Bradley,SG,31,LAL,34,29,23.9,2.6,6.2,.422,1.4,3.5,.383,1.3,2.7,.473,.531,0.3,0.3,1.000,0.6,2.0,2.6,0.9,0.9,0.2,0.5,1.9,6.9
67,67,Tony Bradley,C,24,CHI,27,7,12.5,1.7,2.9,.582,0.0,0.0,,1.7,2.9,.582,.582,0.4,0.5,.769,1.5,3.0,4.5,0.5,0.2,0.7,0.6,1.3,3.8
68,68,Ignas Brazdeikis,SF,23,ORL,16,0,9.0,0.8,2.6,.286,0.3,1.4,.182,0.5,1.3,.400,.333,0.3,0.4,.833,0.4,0.9,1.4,0.5,0.3,0.1,0.3,1.0,2.1
69,69,Mikal Bridges,SF,25,PHO,40,40,34.2,5.0,9.6,.517,1.5,3.7,.396,3.5,5.9,.594,.594,1.0,1.2,.851,1.0,3.0,3.9,1.8,1.3,0.5,0.8,2.0,12.4
70,70,Miles Bridges,PF,23,CHO,40,40,36.0,7.4,15.6,.475,1.9,6.0,.318,5.5,9.6,.573,.536,2.9,3.8,.755,1.3,6.0,7.3,3.6,1.2,0.9,1.8,2.6,19.6
71,71,Oshae Brissett,SF,23,IND,31,1,18.5,2.4,5.4,.443,0.9,2.5,.372,1.5,2.9,.506,.530,0.5,1.0,.567,1.4,2.6,4.0,0.7,0.5,0.4,0.7,1.5,6.3
72,72,Malcolm Brogdon,PG,29,IND,27,27,33.6,6.6,14.7,.446,1.7,5.5,.311,4.9,9.2,.526,.504,3.7,4.3,.855,0.9,4.3,5.2,5.9,0.9,0.4,2.2,2.0,18.5
73,73,Armoni Brooks,SG,23,HOU,33,8,18.2,2.5,6.7,.367,1.8,5.6,.317,0.7,1.1,.629,.500,0.5,0.5,.889,0.3,1.7,2.0,1.4,0.6,0.2,0.6,1.6,7.2
74,74,Dillon Brooks,SF,26,MEM,21,20,28.0,6.9,16.2,.426,1.6,4.8,.327,5.3,11.4,.469,.475,3.0,3.4,.889,0.8,2.5,3.3,2.7,1.3,0.2,1.8,3.3,18.4
